Municipio,Mes,media_focos_mes_hist
ABADIA DE GOIÁS,1,0.0
ABADIÂNIA,1,1.65
ACREÚNA,1,2.92156862745098
ADELÂNDIA,1,1.0
ALEXÂNIA,1,1.125
ALOÂNDIA,1,0.0
ALTO HORIZONTE,1,2.1666666666666665
ALTO PARAÍSO DE GOIÁS,1,3.903225806451613
ALVORADA DO NORTE,1,1.565217391304348
AMARALINA,1,2.090909090909091
AMERICANO DO BRASIL,1,2.0
AMORINÓPOLIS,1,1.0
ANHANGUERA,1,0.0
ANICUNS,1,2.1666666666666665
ANÁPOLIS,1,1.3333333333333333
APARECIDA DE GOIÂNIA,1,1.1111111111111112
APARECIDA DO RIO DOCE,1,1.3888888888888888
APORÉ,1,2.333333333333333
ARAGARÇAS,1,1.4285714285714286
ARAGOIÂNIA,1,1.0
ARAGUAPAZ,1,1.6296296296296295
ARAÇU,1,2.0
ARENÓPOLIS,1,1.375
ARUANÃ,1,2.958333333333333
AURILÂNDIA,1,4.0
AVELINÓPOLIS,1,5.0
BALIZA,1,1.875
BARRO ALTO,1,1.8015873015873016
BELA VISTA DE GOIÁS,1,1.0
BOM JARDIM DE GOIÁS,1,2.392857142857143
BOM JESUS DE GOIÁS,1,2.375
BONFINÓPOLIS,1,1.0
BONÓPOLIS,1,1.7
BRAZABRANTES,1,2.0
BRITÂNIA,1,2.3703703703703702
BURITI ALEGRE,1,1.3333333333333333
BURITI DE GOIÁS,1,1.5
BURITINÓPOLIS,1,1.2
Bonópolis,1,0.0
CABECEIRAS,1,1.5333333333333334
CACHOEIRA ALTA,1,1.542857142857143
CACHOEIRA DE GOIÁS,1,1.1428571428571428
CACHOEIRA DOURADA,1,2.25
CAIAPÔNIA,1,3.4054054054054053
CALDAS NOVAS,1,2.066666666666667
CALDAZINHA,1,1.0
CAMPESTRE DE GOIÁS,1,1.0
CAMPINAÇU,1,1.4444444444444444
CAMPINORTE,1,1.8823529411764703
CAMPO ALEGRE DE GOIÁS,1,3.121212121212121
CAMPO LIMPO DE GOIÁS,1,1.0
CAMPOS BELOS,1,1.4
CAMPOS VERDES,1,1.4
CARMO DO RIO VERDE,1,2.8
CASTELÂNDIA,1,1.181818181818182
CATALÃO,1,1.975609756097561
CATURAÍ,1,1.0
CAVALCANTE,1,2.9473684210526314
CAÇU,1,1.9069767441860463
CERES,1,2.0
CEZARINA,1,1.0740740740740742
CHAPADÃO DO CÉU,1,1.75
CIDADE OCIDENTAL,1,1.0
COCALZINHO DE GOIÁS,1,1.0
COLINAS DO SUL,1,1.3
CORUMBAÍBA,1,2.909090909090909
CORUMBÁ DE GOIÁS,1,1.5
CRISTALINA,1,2.338235294117647
CRISTIANÓPOLIS,1,0.0
CRIXÁS,1,1.891891891891892
CROMÍNIA,1,1.0
CUMARI,1,1.7142857142857142
CÓRREGO DO OURO,1,2.0
DAMIANÓPOLIS,1,3.375
DAMOLÂNDIA,1,0.0
DAVINÓPOLIS,1,1.5
DIORAMA,1,1.2
DIVINÓPOLIS DE GOIÁS,1,1.3076923076923077
DOVERLÂNDIA,1,2.09375
EDEALINA,1,1.5714285714285714
EDÉIA,1,3.4166666666666665
ESTRELA DO NORTE,1,1.5
FAINA,1,1.4375
FAZENDA NOVA,1,1.25
FIRMINÓPOLIS,1,1.0
FLORES DE GOIÁS,1,3.840579710144928
FORMOSA,1,2.725806451612903
FORMOSO,1,2.125
GAMELEIRA DE GOIÁS,1,1.3333333333333333
GOIANDIRA,1,1.3333333333333333
GOIANIRA,1,1.0
GOIANÁPOLIS,1,1.0
GOIANÉSIA,1,1.3571428571428572
GOIATUBA,1,2.0
GOIÁS,1,2.103448275862069
GOIÂNIA,1,3.125
GUAPÓ,1,2.0
GUARANI DE GOIÁS,1,2.9545454545454546
GUARAÍTA,1,0.0
GUARINOS,1,1.6666666666666667
HEITORAÍ,1,2.0
HIDROLINA,1,1.7272727272727273
HIDROLÂNDIA,1,1.588235294117647
IACIARA,1,3.1818181818181817
INACIOLÂNDIA,1,1.8333333333333333
INDIARA,1,1.5625
INHUMAS,1,1.8571428571428568
IPAMERI,1,3.2363636363636363
IPIRANGA DE GOIÁS,1,1.1666666666666667
IPORÁ,1,1.5
ISRAELÂNDIA,1,1.6666666666666667
ITABERAÍ,1,1.9230769230769231
ITAGUARI,1,1.0
ITAGUARU,1,1.0
ITAJÁ,1,2.7222222222222223
ITAPACI,1,1.8888888888888888
ITAPIRAPUÃ,1,2.1578947368421053
ITAPURANGA,1,2.083333333333333
ITARUMÃ,1,4.065217391304348
ITAUÇU,1,0.0
ITUMBIARA,1,1.393939393939394
IVOLÂNDIA,1,2.0869565217391304
JANDAIA,1,2.142857142857143
JARAGUÁ,1,1.7
JATAÍ,1,2.817073170731707
JAUPACI,1,1.0
JESÚPOLIS,1,0.0
JOVIÂNIA,1,1.0
JUSSARA,1,4.158536585365853
LAGOA SANTA,1,2.176470588235294
LEOPOLDO DE BULHÕES,1,1.4444444444444444
LUZIÂNIA,1,1.725
MAIRIPOTABA,1,0.0
MAMBAÍ,1,2.5
MARA ROSA,1,2.125
MARZAGÃO,1,1.625
MATRINCHÃ,1,1.7777777777777777
MAURILÂNDIA,1,2.083333333333333
MIMOSO DE GOIÁS,1,2.375
MINAÇU,1,1.6666666666666667
MINEIROS,1,4.242718446601942
MOIPORÁ,1,1.5
MONTE ALEGRE DE GOIÁS,1,2.3653846153846154
MONTES CLAROS DE GOIÁS,1,2.4375
MONTIVIDIU,1,1.8888888888888888
MONTIVIDIU DO NORTE,1,1.8823529411764703
MORRINHOS,1,1.5625
MORRO AGUDO DE GOIÁS,1,2.0
MOSSÂMEDES,1,1.4
MOZARLÂNDIA,1,1.5555555555555556
MUNDO NOVO,1,1.6206896551724137
MUTUNÓPOLIS,1,2.75
NAZÁRIO,1,0.0
NERÓPOLIS,1,1.4
NIQUELÂNDIA,1,2.97979797979798
NOVA AMÉRICA,1,0.0
NOVA AURORA,1,1.3333333333333333
NOVA CRIXÁS,1,4.173913043478261
NOVA GLÓRIA,1,1.4444444444444444
NOVA IGUAÇU DE GOIÁS,1,1.1428571428571428
NOVA ROMA,1,1.7741935483870968
NOVA VENEZA,1,1.3333333333333333
NOVO BRASIL,1,1.875
NOVO GAMA,1,1.5
NOVO PLANALTO,1,1.933333333333333
Niquelândia,1,0.0
ORIZONA,1,1.6111111111111112
OURO VERDE DE GOIÁS,1,0.0
OUVIDOR,1,1.7
PADRE BERNARDO,1,2.083333333333333
PALESTINA DE GOIÁS,1,1.380952380952381
PALMEIRAS DE GOIÁS,1,1.6875
PALMELO,1,0.0
PALMINÓPOLIS,1,1.0
PANAMÁ,1,1.3636363636363635
PARANAIGUARA,1,1.3333333333333333
PARAÚNA,1,2.373134328358209
PEROLÂNDIA,1,1.1875
PETROLINA DE GOIÁS,1,1.5
PILAR DE GOIÁS,1,1.5833333333333333
PIRACANJUBA,1,2.1666666666666665
PIRANHAS,1,1.7777777777777777
PIRENÓPOLIS,1,1.8636363636363635
PIRES DO RIO,1,1.8
PLANALTINA,1,2.638888888888889
PONTALINA,1,1.3333333333333333
PORANGATU,1,2.7333333333333334
PORTEIRÃO,1,3.972972972972973
PORTELÂNDIA,1,1.3
POSSE,1,4.547619047619048
PROFESSOR JAMIL,1,2.0
QUIRINÓPOLIS,1,1.851063829787234
RIALMA,1,1.0
RIANÁPOLIS,1,3.0
RIO QUENTE,1,1.3333333333333333
RIO VERDE,1,2.5543478260869565
RUBIATABA,1,2.2
SANCLERLÂNDIA,1,1.0
SANTA BÁRBARA DE GOIÁS,1,0.0
SANTA CRUZ DE GOIÁS,1,2.25
SANTA FÉ DE GOIÁS,1,1.7647058823529411
SANTA HELENA DE GOIÁS,1,3.806451612903226
SANTA ISABEL,1,1.411764705882353
SANTA RITA DO ARAGUAIA,1,3.3
SANTA RITA DO NOVO DESTINO,1,1.6666666666666667
SANTA ROSA DE GOIÁS,1,1.0
SANTA TEREZA DE GOIÁS,1,2.111111111111111
SANTA TEREZINHA DE GOIÁS,1,2.2333333333333334
SANTO ANTÔNIO DA BARRA,1,2.3
SANTO ANTÔNIO DE GOIÁS,1,1.0
SANTO ANTÔNIO DO DESCOBERTO,1,1.1666666666666667
SENADOR CANEDO,1,1.2
SERRANÓPOLIS,1,3.4558823529411766
SILVÂNIA,1,1.3333333333333333
SIMOLÂNDIA,1,3.411764705882353
SÃO DOMINGOS,1,3.12280701754386
SÃO FRANCISCO DE GOIÁS,1,1.1666666666666667
SÃO JOÃO D'ALIANÇA,1,2.5961538461538463
SÃO JOÃO DA PARAÚNA,1,4.0
SÃO LUIZ DO NORTE,1,1.5454545454545454
SÃO LUÍS DE MONTES BELOS,1,1.3333333333333333
SÃO MIGUEL DO ARAGUAIA,1,3.971014492753623
SÃO MIGUEL DO PASSA QUATRO,1,1.25
SÃO PATRÍCIO,1,0.0
SÍTIO D'ABADIA,1,2.0454545454545454
TAQUARAL DE GOIÁS,1,1.25
TERESINA DE GOIÁS,1,1.8571428571428568
TEREZÓPOLIS DE GOIÁS,1,0.0
TRINDADE,1,1.2727272727272727
TROMBAS,1,1.8461538461538465
TRÊS RANCHOS,1,2.0
TURVELÂNDIA,1,2.9166666666666665
TURVÂNIA,1,1.3333333333333333
UIRAPURU,1,2.4
URUANA,1,2.0
URUAÇU,1,2.054054054054054
URUTAÍ,1,1.4
VALPARAÍSO DE GOIÁS,1,0.0
VARJÃO,1,1.0
VIANÓPOLIS,1,1.2
VICENTINÓPOLIS,1,2.8484848484848486
VILA BOA,1,1.7222222222222223
VILA PROPÍCIO,1,2.65625
Vila Boa,1,0.0
ÁGUA FRIA DE GOIÁS,1,2.033333333333333
ÁGUA LIMPA,1,0.0
ÁGUAS LINDAS DE GOIÁS,1,1.0
ABADIA DE GOIÁS,2,1.0
ABADIÂNIA,2,1.625
ACREÚNA,2,3.046875
ADELÂNDIA,2,1.5
ALEXÂNIA,2,1.6
ALOÂNDIA,2,1.5
ALTO HORIZONTE,2,1.0
ALTO PARAÍSO DE GOIÁS,2,5.535714285714286
ALVORADA DO NORTE,2,2.8125
AMARALINA,2,2.2666666666666666
AMERICANO DO BRASIL,2,0.0
AMORINÓPOLIS,2,1.25
ANHANGUERA,2,0.0
ANICUNS,2,1.1666666666666667
ANÁPOLIS,2,1.0714285714285714
APARECIDA DE GOIÂNIA,2,1.0
APARECIDA DO RIO DOCE,2,1.818181818181818
APORÉ,2,1.8444444444444448
ARAGARÇAS,2,2.7777777777777777
ARAGOIÂNIA,2,1.0
ARAGUAPAZ,2,2.75
ARAÇU,2,1.0
ARENÓPOLIS,2,2.0
ARUANÃ,2,2.2
AURILÂNDIA,2,1.0
AVELINÓPOLIS,2,1.75
BALIZA,2,1.5
BARRO ALTO,2,1.7473684210526317
BELA VISTA DE GOIÁS,2,1.181818181818182
BOM JARDIM DE GOIÁS,2,1.5333333333333334
BOM JESUS DE GOIÁS,2,1.870967741935484
BONFINÓPOLIS,2,1.0
BONÓPOLIS,2,1.625
BRAZABRANTES,2,1.0
BRITÂNIA,2,1.4545454545454546
BURITI ALEGRE,2,1.5
BURITI DE GOIÁS,2,0.0
BURITINÓPOLIS,2,1.0
Bonópolis,2,0.0
CABECEIRAS,2,2.142857142857143
CACHOEIRA ALTA,2,1.2941176470588236
CACHOEIRA DE GOIÁS,2,2.6666666666666665
CACHOEIRA DOURADA,2,1.7272727272727273
CAIAPÔNIA,2,2.2
CALDAS NOVAS,2,1.6
CALDAZINHA,2,1.0
CAMPESTRE DE GOIÁS,2,2.0
CAMPINAÇU,2,1.8888888888888888
CAMPINORTE,2,2.076923076923077
CAMPO ALEGRE DE GOIÁS,2,1.6428571428571428
CAMPO LIMPO DE GOIÁS,2,1.0
CAMPOS BELOS,2,2.0
CAMPOS VERDES,2,1.0
CARMO DO RIO VERDE,2,3.4
CASTELÂNDIA,2,1.8
CATALÃO,2,1.6363636363636365
CATURAÍ,2,0.0
CAVALCANTE,2,2.209302325581396
CAÇU,2,2.088888888888889
CERES,2,1.0
CEZARINA,2,1.1904761904761905
CHAPADÃO DO CÉU,2,6.363636363636363
CIDADE OCIDENTAL,2,0.0
COCALZINHO DE GOIÁS,2,1.8125
COLINAS DO SUL,2,1.7777777777777777
CORUMBAÍBA,2,1.0
CORUMBÁ DE GOIÁS,2,1.4285714285714286
CRISTALINA,2,2.6444444444444444
CRISTIANÓPOLIS,2,1.0
CRIXÁS,2,1.9411764705882355
CROMÍNIA,2,1.0
CUMARI,2,1.5
CÓRREGO DO OURO,2,1.0
DAMIANÓPOLIS,2,1.0
DAMOLÂNDIA,2,1.0
DAVINÓPOLIS,2,1.0
DIORAMA,2,1.25
DIVINÓPOLIS DE GOIÁS,2,1.4
DOVERLÂNDIA,2,1.3666666666666667
EDEALINA,2,1.368421052631579
EDÉIA,2,2.588235294117647
ESTRELA DO NORTE,2,2.0
FAINA,2,1.0
FAZENDA NOVA,2,1.0
FIRMINÓPOLIS,2,1.3333333333333333
FLORES DE GOIÁS,2,4.509433962264151
FORMOSA,2,2.394736842105264
FORMOSO,2,1.8571428571428568
GAMELEIRA DE GOIÁS,2,1.25
GOIANDIRA,2,1.5
GOIANIRA,2,1.25
GOIANÁPOLIS,2,1.0
GOIANÉSIA,2,1.5833333333333333
GOIATUBA,2,2.7333333333333334
GOIÁS,2,1.4
GOIÂNIA,2,2.3
GUAPÓ,2,1.5
GUARANI DE GOIÁS,2,1.2857142857142858
GUARAÍTA,2,0.0
GUARINOS,2,1.0
HEITORAÍ,2,4.0
HIDROLINA,2,1.5
HIDROLÂNDIA,2,1.8
IACIARA,2,2.121212121212121
INACIOLÂNDIA,2,1.5833333333333333
INDIARA,2,1.5454545454545454
INHUMAS,2,1.0
IPAMERI,2,2.21875
IPIRANGA DE GOIÁS,2,1.0
IPORÁ,2,1.125
ISRAELÂNDIA,2,2.0
ITABERAÍ,2,1.4
ITAGUARI,2,1.0
ITAGUARU,2,2.0
ITAJÁ,2,3.092592592592593
ITAPACI,2,2.0
ITAPIRAPUÃ,2,1.5333333333333334
ITAPURANGA,2,1.2666666666666666
ITARUMÃ,2,4.555555555555555
ITAUÇU,2,1.0
ITUMBIARA,2,1.8571428571428568
IVOLÂNDIA,2,1.9166666666666667
JANDAIA,2,1.0666666666666669
JARAGUÁ,2,1.4705882352941178
JATAÍ,2,2.189655172413793
JAUPACI,2,2.2
JESÚPOLIS,2,2.0
JOVIÂNIA,2,1.3333333333333333
JUSSARA,2,2.767857142857143
LAGOA SANTA,2,1.5555555555555556
LEOPOLDO DE BULHÕES,2,1.0
LUZIÂNIA,2,1.96875
MAIRIPOTABA,2,0.0
MAMBAÍ,2,1.6
MARA ROSA,2,2.0
MARZAGÃO,2,1.0
MATRINCHÃ,2,2.4285714285714284
MAURILÂNDIA,2,1.6666666666666667
MIMOSO DE GOIÁS,2,2.8
MINAÇU,2,2.5294117647058822
MINEIROS,2,4.53968253968254
MOIPORÁ,2,1.6666666666666667
MONTE ALEGRE DE GOIÁS,2,2.0
MONTES CLAROS DE GOIÁS,2,2.4651162790697674
MONTIVIDIU,2,1.25
MONTIVIDIU DO NORTE,2,1.4
MORRINHOS,2,1.933333333333333
MORRO AGUDO DE GOIÁS,2,0.0
MOSSÂMEDES,2,1.5
MOZARLÂNDIA,2,1.125
MUNDO NOVO,2,1.4782608695652173
MUTUNÓPOLIS,2,1.5
NAZÁRIO,2,2.5
NERÓPOLIS,2,1.4
NIQUELÂNDIA,2,2.618181818181818
NOVA AMÉRICA,2,0.0
NOVA AURORA,2,1.0
NOVA CRIXÁS,2,2.431034482758621
NOVA GLÓRIA,2,1.8571428571428568
NOVA IGUAÇU DE GOIÁS,2,2.5
NOVA ROMA,2,1.9090909090909087
NOVA VENEZA,2,4.0
NOVO BRASIL,2,1.75
NOVO GAMA,2,1.0
NOVO PLANALTO,2,1.7
Niquelândia,2,0.0
ORIZONA,2,7.772727272727272
OURO VERDE DE GOIÁS,2,1.5
OUVIDOR,2,1.3333333333333333
PADRE BERNARDO,2,2.4444444444444446
PALESTINA DE GOIÁS,2,1.7647058823529411
PALMEIRAS DE GOIÁS,2,1.6
PALMELO,2,0.0
PALMINÓPOLIS,2,1.0
PANAMÁ,2,1.818181818181818
PARANAIGUARA,2,1.25
PARAÚNA,2,1.9649122807017545
PEROLÂNDIA,2,1.75
PETROLINA DE GOIÁS,2,1.5
PILAR DE GOIÁS,2,1.1666666666666667
PIRACANJUBA,2,1.35
PIRANHAS,2,1.625
PIRENÓPOLIS,2,2.25
PIRES DO RIO,2,2.0
PLANALTINA,2,1.4285714285714286
PONTALINA,2,1.2
PORANGATU,2,2.8181818181818183
PORTEIRÃO,2,2.5476190476190474
PORTELÂNDIA,2,1.6666666666666667
POSSE,2,1.8148148148148149
PROFESSOR JAMIL,2,1.0
QUIRINÓPOLIS,2,2.0
RIALMA,2,1.6
RIANÁPOLIS,2,1.0
RIO QUENTE,2,1.0
RIO VERDE,2,1.8125
RUBIATABA,2,1.6
SANCLERLÂNDIA,2,1.0
SANTA BÁRBARA DE GOIÁS,2,1.5
SANTA CRUZ DE GOIÁS,2,2.6
SANTA FÉ DE GOIÁS,2,2.333333333333333
SANTA HELENA DE GOIÁS,2,1.9411764705882355
SANTA ISABEL,2,2.0
SANTA RITA DO ARAGUAIA,2,1.2222222222222223
SANTA RITA DO NOVO DESTINO,2,1.25
SANTA ROSA DE GOIÁS,2,1.0
SANTA TEREZA DE GOIÁS,2,2.142857142857143
SANTA TEREZINHA DE GOIÁS,2,1.375
SANTO ANTÔNIO DA BARRA,2,1.3333333333333333
SANTO ANTÔNIO DE GOIÁS,2,0.0
SANTO ANTÔNIO DO DESCOBERTO,2,2.25
SENADOR CANEDO,2,1.181818181818182
SERRANÓPOLIS,2,3.0847457627118646
SILVÂNIA,2,2.0
SIMOLÂNDIA,2,2.111111111111111
SÃO DOMINGOS,2,2.294117647058824
SÃO FRANCISCO DE GOIÁS,2,1.0
SÃO JOÃO D'ALIANÇA,2,2.972972972972973
SÃO JOÃO DA PARAÚNA,2,1.0
SÃO LUIZ DO NORTE,2,1.4
SÃO LUÍS DE MONTES BELOS,2,1.0
SÃO MIGUEL DO ARAGUAIA,2,1.902439024390244
SÃO MIGUEL DO PASSA QUATRO,2,1.0
SÃO PATRÍCIO,2,2.0
SÍTIO D'ABADIA,2,3.590909090909091
TAQUARAL DE GOIÁS,2,0.0
TERESINA DE GOIÁS,2,2.6
TEREZÓPOLIS DE GOIÁS,2,1.0
TRINDADE,2,2.0
TROMBAS,2,1.8571428571428568
TRÊS RANCHOS,2,0.0
TURVELÂNDIA,2,2.333333333333333
TURVÂNIA,2,1.3333333333333333
UIRAPURU,2,1.7142857142857142
URUANA,2,1.7142857142857142
URUAÇU,2,2.25
URUTAÍ,2,1.5555555555555556
VALPARAÍSO DE GOIÁS,2,1.0
VARJÃO,2,1.0
VIANÓPOLIS,2,1.0
VICENTINÓPOLIS,2,3.074074074074074
VILA BOA,2,1.5714285714285714
VILA PROPÍCIO,2,1.5
Vila Boa,2,0.0
ÁGUA FRIA DE GOIÁS,2,1.7727272727272727
ÁGUA LIMPA,2,0.0
ÁGUAS LINDAS DE GOIÁS,2,1.0
ABADIA DE GOIÁS,3,1.75
ABADIÂNIA,3,1.4545454545454546
ACREÚNA,3,2.2452830188679247
ADELÂNDIA,3,0.0
ALEXÂNIA,3,1.2
ALOÂNDIA,3,1.0
ALTO HORIZONTE,3,2.0
ALTO PARAÍSO DE GOIÁS,3,5.655172413793103
ALVORADA DO NORTE,3,5.933333333333334
AMARALINA,3,1.6666666666666667
AMERICANO DO BRASIL,3,0.0
AMORINÓPOLIS,3,1.1666666666666667
ANHANGUERA,3,0.0
ANICUNS,3,1.0
ANÁPOLIS,3,1.25
APARECIDA DE GOIÂNIA,3,1.1428571428571428
APARECIDA DO RIO DOCE,3,1.1428571428571428
APORÉ,3,1.75
ARAGARÇAS,3,2.0
ARAGOIÂNIA,3,2.333333333333333
ARAGUAPAZ,3,1.619047619047619
ARAÇU,3,1.0
ARENÓPOLIS,3,1.2222222222222223
ARUANÃ,3,1.3953488372093024
AURILÂNDIA,3,1.0
AVELINÓPOLIS,3,1.3333333333333333
BALIZA,3,1.8
BARRO ALTO,3,1.9035087719298245
BELA VISTA DE GOIÁS,3,1.0
BOM JARDIM DE GOIÁS,3,1.738095238095238
BOM JESUS DE GOIÁS,3,1.6571428571428573
BONFINÓPOLIS,3,2.25
BONÓPOLIS,3,1.0625
BRAZABRANTES,3,1.0
BRITÂNIA,3,1.3333333333333333
BURITI ALEGRE,3,1.3333333333333333
BURITI DE GOIÁS,3,0.0
BURITINÓPOLIS,3,1.0
Bonópolis,3,0.0
CABECEIRAS,3,1.6363636363636365
CACHOEIRA ALTA,3,1.3333333333333333
CACHOEIRA DE GOIÁS,3,1.4
CACHOEIRA DOURADA,3,1.2857142857142858
CAIAPÔNIA,3,2.194029850746269
CALDAS NOVAS,3,1.3043478260869563
CALDAZINHA,3,0.0
CAMPESTRE DE GOIÁS,3,1.25
CAMPINAÇU,3,1.5
CAMPINORTE,3,1.2222222222222223
CAMPO ALEGRE DE GOIÁS,3,3.0
CAMPO LIMPO DE GOIÁS,3,1.0
CAMPOS BELOS,3,2.7777777777777777
CAMPOS VERDES,3,1.5
CARMO DO RIO VERDE,3,2.0
CASTELÂNDIA,3,1.7142857142857142
CATALÃO,3,2.0
CATURAÍ,3,1.0
CAVALCANTE,3,4.267857142857143
CAÇU,3,1.9444444444444444
CERES,3,1.0
CEZARINA,3,1.0555555555555556
CHAPADÃO DO CÉU,3,2.103448275862069
CIDADE OCIDENTAL,3,1.5
COCALZINHO DE GOIÁS,3,1.1428571428571428
COLINAS DO SUL,3,2.4615384615384617
CORUMBAÍBA,3,1.45
CORUMBÁ DE GOIÁS,3,1.3333333333333333
CRISTALINA,3,2.7875
CRISTIANÓPOLIS,3,1.0
CRIXÁS,3,1.5384615384615383
CROMÍNIA,3,1.5
CUMARI,3,1.2222222222222223
CÓRREGO DO OURO,3,1.3333333333333333
DAMIANÓPOLIS,3,1.0
DAMOLÂNDIA,3,0.0
DAVINÓPOLIS,3,2.5
DIORAMA,3,1.2222222222222223
DIVINÓPOLIS DE GOIÁS,3,1.0
DOVERLÂNDIA,3,2.358974358974359
EDEALINA,3,1.0
EDÉIA,3,2.649122807017544
ESTRELA DO NORTE,3,2.0
FAINA,3,1.6
FAZENDA NOVA,3,1.8666666666666667
FIRMINÓPOLIS,3,1.6666666666666667
FLORES DE GOIÁS,3,3.2
FORMOSA,3,6.875
FORMOSO,3,1.5
GAMELEIRA DE GOIÁS,3,1.0
GOIANDIRA,3,2.8
GOIANIRA,3,1.1666666666666667
GOIANÁPOLIS,3,1.0
GOIANÉSIA,3,1.0909090909090908
GOIATUBA,3,2.1666666666666665
GOIÁS,3,1.5
GOIÂNIA,3,1.88
GUAPÓ,3,1.0
GUARANI DE GOIÁS,3,2.0
GUARAÍTA,3,0.0
GUARINOS,3,1.6666666666666667
HEITORAÍ,3,1.8333333333333333
HIDROLINA,3,1.5
HIDROLÂNDIA,3,1.7142857142857142
IACIARA,3,3.24
INACIOLÂNDIA,3,1.5714285714285714
INDIARA,3,1.6153846153846154
INHUMAS,3,1.0
IPAMERI,3,2.9056603773584904
IPIRANGA DE GOIÁS,3,1.4
IPORÁ,3,2.0
ISRAELÂNDIA,3,1.0
ITABERAÍ,3,4.166666666666667
ITAGUARI,3,1.5
ITAGUARU,3,1.0
ITAJÁ,3,1.7027027027027026
ITAPACI,3,1.1428571428571428
ITAPIRAPUÃ,3,1.5
ITAPURANGA,3,1.1666666666666667
ITARUMÃ,3,2.4074074074074074
ITAUÇU,3,1.0
ITUMBIARA,3,1.4482758620689655
IVOLÂNDIA,3,3.235294117647059
JANDAIA,3,1.1578947368421053
JARAGUÁ,3,1.5789473684210529
JATAÍ,3,2.1494252873563218
JAUPACI,3,1.0
JESÚPOLIS,3,1.0
JOVIÂNIA,3,1.5
JUSSARA,3,3.113636363636364
LAGOA SANTA,3,1.1666666666666667
LEOPOLDO DE BULHÕES,3,1.0
LUZIÂNIA,3,1.9714285714285715
MAIRIPOTABA,3,1.0
MAMBAÍ,3,1.0
MARA ROSA,3,1.565217391304348
MARZAGÃO,3,1.0
MATRINCHÃ,3,1.4516129032258065
MAURILÂNDIA,3,2.142857142857143
MIMOSO DE GOIÁS,3,1.263157894736842
MINAÇU,3,3.3157894736842106
MINEIROS,3,10.306666666666668
MOIPORÁ,3,1.0
MONTE ALEGRE DE GOIÁS,3,2.757575757575758
MONTES CLAROS DE GOIÁS,3,2.055555555555556
MONTIVIDIU,3,1.2105263157894737
MONTIVIDIU DO NORTE,3,1.5714285714285714
MORRINHOS,3,1.9
MORRO AGUDO DE GOIÁS,3,0.0
MOSSÂMEDES,3,1.0
MOZARLÂNDIA,3,1.2352941176470589
MUNDO NOVO,3,1.3846153846153846
MUTUNÓPOLIS,3,1.3333333333333333
NAZÁRIO,3,0.0
NERÓPOLIS,3,1.5
NIQUELÂNDIA,3,2.253731343283582
NOVA AMÉRICA,3,1.0
NOVA AURORA,3,1.0
NOVA CRIXÁS,3,2.3043478260869565
NOVA GLÓRIA,3,1.0
NOVA IGUAÇU DE GOIÁS,3,2.0
NOVA ROMA,3,2.75
NOVA VENEZA,3,1.0
NOVO BRASIL,3,1.0
NOVO GAMA,3,1.5
NOVO PLANALTO,3,1.5555555555555556
Niquelândia,3,0.0
ORIZONA,3,3.117647058823529
