Municipio,Contagem,Latitude,Longitude,Municipio_Freq
ABADIA DE GOIÁS,556,-16.78893560640398,-49.43279950787229,0.0004105363110506
ABADIÂNIA,2883,-16.19915712906121,-48.70814271576387,0.0021287341452501
ACREÚNA,6833,-17.48826970830257,-50.32369400069289,0.0050453140528942
ADELÂNDIA,242,-16.353762350998142,-50.17813605937417,0.0001786866677594
ALEXÂNIA,1611,-16.07491682926853,-48.49287370127031,0.0011895215775226
ALOÂNDIA,85,-17.68815894117647,-49.45926305882353,6.276184611386032e-05
ALTO HORIZONTE,1234,-14.162393972965113,-49.45279801107309,0.0009111543306412
ALTO PARAÍSO DE GOIÁS,18425,-14.194794675020932,-47.58800995260268,0.0136045531135044
ALVORADA DO NORTE,9360,-14.578913930149612,-46.62741788371978,0.0069111868191262
AMARALINA,4772,-13.848529827205882,-49.56903226128027,0.0035235238782981
AMERICANO DO BRASIL,386,-16.26768690474456,-50.03356390050078,0.0002850126188229
AMORINÓPOLIS,640,-16.66506804069733,-51.10984947764403,0.0004725597825043
ANHANGUERA,110,-18.298455841186364,-48.23644304764,8.122121261793689e-05
ANICUNS,3886,-16.386618352812665,-49.96569453715062,0.0028693239293936
ANÁPOLIS,3476,-16.327248789404404,-48.95399874795129,0.0025665903187268
APARECIDA DE GOIÂNIA,1809,-16.80602601231046,-49.24588428522596,0.0013357197602349
APARECIDA DO RIO DOCE,1302,-18.2275046528764,-51.298408339959074,0.0009613638075323
APORÉ,3153,-18.7073526543005,-52.08304620766298,0.0023280953034941
ARAGARÇAS,2195,-15.9954744133776,-52.195114826594455,0.0016207323790579
ARAGOIÂNIA,450,-16.91901903566752,-49.41650422930775,0.0003322685970733
ARAGUAPAZ,9844,-15.139882625109504,-50.2765366521584,0.0072685601546451
ARAÇU,192,-16.334093281250002,-49.70501984375,0.0001417679347513
ARENÓPOLIS,2297,-16.361902054815086,-51.55715988814804,0.0016960465943945
ARUANÃ,7461,-14.80056233565119,-50.9660645783424,0.0055090133394766
AURILÂNDIA,1104,-16.694217641941965,-50.54701395836094,0.00081516562482
AVELINÓPOLIS,538,-16.51911947366258,-49.76146747111399,0.0003972455671677
BALIZA,12803,-16.335498056525363,-52.47044379945877,0.0094534107740676
BARRO ALTO,9507,-14.9246949793272,-48.89831318663708,0.0070197278941702
BELA VISTA DE GOIÁS,2981,-16.95106540676648,-48.933601465935,0.002201094861946
BOM JARDIM DE GOIÁS,9457,-16.169600227866493,-52.08811808319062,0.006982809161162
BOM JESUS DE GOIÁS,5899,-18.192311694542585,-49.92073113922121,0.0043556721203019
BONFINÓPOLIS,565,-16.593720196431793,-49.00153550440518,0.0004171816829921
BONÓPOLIS,3689,-13.564579785655514,-49.78482140282583,0.0027238641213415
BRAZABRANTES,327,-16.38638492779754,-49.3872036236477,0.0002414485138733
BRITÂNIA,3379,-15.098256086081884,-51.20240394542521,0.0024949679766909
BURITI ALEGRE,686,-18.058745550168023,-49.05309547296925,0.0005065250168718
BURITI DE GOIÁS,604,-16.117288760460852,-50.42866144294369,0.0004459782947384
BURITINÓPOLIS,801,-14.42314966215634,-46.33303829144667,0.0005914381027906
CABECEIRAS,2866,-15.753711869204832,-46.99550025639795,0.0021161817760273
CACHOEIRA ALTA,1737,-18.461936889018936,-50.98679602687277,0.0012825567847032
CACHOEIRA DE GOIÁS,1088,-16.743051878299504,-50.687902715799886,0.0008033516302574
CACHOEIRA DOURADA,1272,-18.46651639403071,-49.55177475564167,0.0009392125677274
CAIAPÔNIA,19333,-17.02333953529842,-51.80903000805655,0.0142749973049324
CALDAS NOVAS,4463,-17.728174181219167,-48.609976896734885,0.0032953661083077
CALDAZINHA,307,-16.743499656574723,-48.98542839082745,0.00022668102067
CAMPESTRE DE GOIÁS,324,-16.796398326655236,-49.67954670252682,0.0002392333898928
CAMPINAÇU,14568,-13.868181231222769,-48.55699372818981,0.0107566420492554
CAMPINORTE,5848,-14.019192669554034,-48.931304030265736,0.0043180150126335
CAMPO ALEGRE DE GOIÁS,4838,-17.478774899824252,-47.74286914863833,0.0035722566058688
CAMPO LIMPO DE GOIÁS,361,-16.299018349281013,-49.110030575894335,0.0002665532523188
CAMPOS BELOS,7307,-12.986995843211018,-46.42094914457776,0.0053953036418114
CAMPOS VERDES,1222,-14.200869051269477,-49.67078102066461,0.0009022938347192
CARMO DO RIO VERDE,996,-15.426910428711976,-49.742093983937615,0.0007354211615224
CASTELÂNDIA,1966,-18.147960130853747,-50.30679359237395,0.0014516445818805
CATALÃO,9081,-17.859620758114687,-47.65795514226879,0.0067051802889407
CATURAÍ,563,-16.46434919145576,-49.55619428460128,0.0004157049336718
CAVALCANTE,82688,-13.605372533203356,-47.74998846789225,0.0610547238995633
CAÇU,2352,-18.69115169498673,-51.169522816602274,0.0017366572007035
CERES,541,-15.280732075215544,-49.628100932957885,0.0003994606911482
CEZARINA,1465,-17.034689299189036,-49.7756844762151,0.0010817188771388
CHAPADÃO DO CÉU,8524,-18.41837474627293,-52.650980123044505,0.0062939056032299
CIDADE OCIDENTAL,1328,-16.103552382328953,-47.86022791897977,0.0009805615486965
COCALZINHO DE GOIÁS,5767,-15.644454575968023,-48.59695917813067,0.0042582066651603
COLINAS DO SUL,22031,-13.94148455899416,-48.086108285372966,0.0162671321380524
CORUMBAÍBA,2212,-18.048104715395148,-48.4749049622824,0.0016332847482806
CORUMBÁ DE GOIÁS,1874,-15.898613517797502,-48.71659334472278,0.0013837141131455
CRISTALINA,17901,-16.729108968671913,-47.51949739378938,0.0132176447915789
CRISTIANÓPOLIS,738,-17.206932724384384,-48.69296888350953,0.0005449204992003
CRIXÁS,19308,-14.80659158075239,-50.06889904182484,0.0142565379384284
CROMÍNIA,673,-17.253757641416556,-49.343018999846976,0.0004969261462897
CUMARI,661,-18.301979326576244,-48.12847505289865,0.0004880656503677
CÓRREGO DO OURO,500,-16.371262238930456,-50.57972804506588,0.0003691873300815
DAMIANÓPOLIS,1210,-14.591784557452115,-46.16138493743546,0.0008934333387973
DAMOLÂNDIA,61,-16.248604825879593,-49.32391944079821,4.504085426994682e-05
DAVINÓPOLIS,1029,-18.113605118464037,-47.53297332981958,0.0007597875253077
DIORAMA,1490,-16.22661972062711,-51.389931230721885,0.0011001782436429
DIVINÓPOLIS DE GOIÁS,2705,-13.286303429360114,-46.52383420100133,0.001997303455741
DOVERLÂNDIA,8289,-16.786897298262215,-52.47629182084975,0.0061203875580916
EDEALINA,878,-17.41358594607326,-49.76627082483966,0.0006482929516231
EDÉIA,5430,-17.509361464280108,-50.00172531667008,0.0040093744046854
ESTRELA DO NORTE,852,-13.815008598965576,-49.04348551590312,0.0006290952104589
FAINA,5419,-15.450502453569465,-50.35323063719383,0.0040012522834236
FAZENDA NOVA,5157,-16.080235263157753,-50.93137671149489,0.0038077981224609
FIRMINÓPOLIS,420,-16.632875809432132,-50.31542780810252,0.0003101173572684
FLORES DE GOIÁS,27741,-14.69582900883936,-46.88334718801356,0.0204832514475835
FORMOSA,44283,-15.366385635807053,-47.255312528185605,0.0326974450760009
FORMOSO,3757,-13.7157591183698,-48.828383563721786,0.0027740735982326
GAMELEIRA DE GOIÁS,765,-16.393084698423134,-48.71174726623623,0.0005648566150247
GOIANDIRA,940,-18.109377022796597,-48.1276924891904,0.0006940721805532
GOIANIRA,843,-16.508575399186565,-49.41469315151372,0.0006224498385174
GOIANÁPOLIS,1833,-16.52798048733482,-49.09369703759325,0.0013534407520788
GOIANÉSIA,4567,-15.235935983775684,-49.19339896780853,0.0033721570729647
GOIATUBA,6420,-17.991078799174332,-49.72506729400575,0.0047403653182468
GOIÁS,9046,-15.910637681321438,-50.22587344128038,0.006679337175835
GOIÂNIA,7620,-16.627186847284758,-49.26892340187793,0.0056264149104425
GUAPÓ,1882,-16.923914459668058,-49.58948320140861,0.0013896211104268
GUARANI DE GOIÁS,5377,-13.896234842419478,-46.35992556272503,0.0039702405476967
GUARAÍTA,163,-15.655710917941402,-50.06909189298791,0.0001203550696065
GUARINOS,1668,-14.677563689499642,-49.737239130745,0.0012316089331519
HEITORAÍ,634,-15.737018243255712,-49.79072401383959,0.0004681295345433
HIDROLINA,1304,-14.78351237067298,-49.29993852784245,0.0009628405568526
HIDROLÂNDIA,2380,-17.00595303936355,-49.2631795818899,0.001757331691188
IACIARA,4051,-14.108153980696324,-46.79592329445353,0.0029911557483205
INACIOLÂNDIA,1763,-18.422363375480977,-49.93462547993578,0.0013017545258674
INDIARA,3195,-17.22357364537349,-49.96111627583188,0.0023591070392209
INHUMAS,1528,-16.318242778189063,-49.50186836687853,0.0011282364807291
IPAMERI,11133,-17.453901960073118,-47.994679662267664,0.0082203250915953
IPIRANGA DE GOIÁS,1095,-15.155239440421736,-49.6667347648474,0.0008085202528785
IPORÁ,1755,-16.39958999360689,-51.174760035598624,0.0012958475285861
ISRAELÂNDIA,842,-16.357079235135966,-50.868874162608,0.0006217114638572
ITABERAÍ,4935,-16.076051965486666,-49.86875528845477,0.0036438789479047
ITAGUARI,381,-15.958521857049124,-49.62738930061074,0.0002813207455221
ITAGUARU,252,-15.78281026598368,-49.60758994825582,0.000186070414361
ITAJÁ,2708,-19.086946202574843,-51.34562507108249,0.0019995185797215
ITAPACI,3696,-14.955491253186096,-49.62493326485581,0.0027290327439626
ITAPIRAPUÃ,1859,-15.75718984044679,-50.7465760866374,0.0013726384932431
ITAPURANGA,2501,-15.577224810549591,-49.933817512866845,0.0018466750250678
ITARUMÃ,6287,-18.86462245523424,-51.33580667861621,0.0046421614884451
ITAUÇU,725,-16.19395275886309,-49.59347382261099,0.0005353216286182
ITUMBIARA,10424,-18.36303539838409,-49.51316782799183,0.0076968174575397
IVOLÂNDIA,2005,-16.679987246814406,-50.98325370232422,0.0014804411936269
JANDAIA,1567,-17.140823818775164,-50.18439081477384,0.0011570330924755
JARAGUÁ,3719,-15.684175632573451,-49.36723779617128,0.0027460153611464
JATAÍ,24579,-17.885693026802887,-51.7369228480587,0.0181485107721479
JAUPACI,1390,-16.20973022325548,-51.05550430467066,0.0010263407776266
JESÚPOLIS,131,-15.96442854961832,-49.40223259541985,9.67270804813612e-05
JOVIÂNIA,457,-17.796625241812514,-49.645908107666806,0.0003374372196945
JUSSARA,13189,-15.53774041723269,-51.30291227238109,0.0097384233928906
LAGOA SANTA,390,-19.18411260260326,-51.28965509319911,0.0002879661174635
LEOPOLDO DE BULHÕES,1224,-16.556636131106096,-48.89337232999825,0.0009037705840395
LUZIÂNIA,9514,-16.41158591502055,-47.9402484582945,0.0070248965167913
MAIRIPOTABA,948,-17.295161367113327,-49.44670063542476,0.0006999791778345
MAMBAÍ,7059,-14.387997990140692,-46.051088000383096,0.005212186726091
MARA ROSA,5014,-13.999770100704,-49.390664925569126,0.0037022105460575
MARZAGÃO,518,-17.955558865377707,-48.675183437794566,0.0003824780739644
MATRINCHÃ,1833,-15.332925918372275,-50.75330754036656,0.0013534407520788
MAURILÂNDIA,3156,-18.03750092993941,-50.36063856125698,0.0023303104274746
MIMOSO DE GOIÁS,20781,-15.0302729730905,-48.33825202036574,0.0153441638128486
MINAÇU,23995,-13.517945024690189,-48.337109129169214,0.0177172999706126
MINEIROS,37282,-17.758011413392754,-52.819223041509886,0.0275280840801993
MOIPORÁ,788,-16.48291057823502,-50.79468243580173,0.0005818392322084
MONTE ALEGRE DE GOIÁS,34781,-13.350813143278856,-46.98514054795142,0.0256814090551314
MONTES CLAROS DE GOIÁS,4911,-15.873326931416043,-51.59664771775818,0.0036261579560608
MONTIVIDIU,2369,-17.302834146829042,-51.19610715003383,0.0017492095699262
MONTIVIDIU DO NORTE,7506,-13.157797966650936,-48.70583895092373,0.0055422401991839
MORRINHOS,6349,-17.747080471125827,-49.18201398317284,0.0046879407173752
MORRO AGUDO DE GOIÁS,392,-15.304498898497632,-49.98811127634744,0.0002894428667839
MOSSÂMEDES,2840,-16.138102134284225,-50.1950255261411,0.002096984034863
MOZARLÂNDIA,2725,-14.81638418252236,-50.609316979892746,0.0020120709489443
MUNDO NOVO,3725,-13.777534650060309,-50.25180240334917,0.0027504456091074
MUTUNÓPOLIS,2891,-13.711606278817616,-49.31418113591433,0.0021346411425314
NAZÁRIO,620,-16.599868890591072,-49.81683600889826,0.000457792289301
NERÓPOLIS,1360,-16.425056587028248,-49.17034091583095,0.0010041895378217
NIQUELÂNDIA,95163,-14.555709823639525,-48.323005819211815,0.0702659477850975
NOVA AMÉRICA,428,-15.06192828329916,-49.9617065714417,0.0003160243545497
NOVA AURORA,129,-18.08032677087066,-48.312556451501656,9.525033116103507e-05
NOVA CRIXÁS,19023,-14.109081491545986,-50.60644025233707,0.0140461011602819
NOVA GLÓRIA,3160,-15.080904022970325,-49.5127373729181,0.0023332639261152
NOVA IGUAÇU DE GOIÁS,2357,-14.335840325249317,-49.31212409374217,0.0017403490740043
NOVA ROMA,16432,-13.714942640576536,-47.01834764226104,0.0121329724157994
NOVA VENEZA,342,-16.37386734685885,-49.29800513158261,0.0002525241337757
NOVO BRASIL,563,-16.06446829111038,-50.5877548005677,0.0004157049336718
NOVO GAMA,1089,-16.10973108267564,-48.07263803458282,0.0008040900049175
NOVO PLANALTO,2138,-13.224864863175409,-49.711211164352655,0.0015786450234286
ORIZONA,2736,-17.02708940860277,-48.16569268300261,0.0020201930702061
OURO VERDE DE GOIÁS,267,-16.27053798049984,-49.21511768318319,0.0001971460342635
OUVIDOR,929,-18.22269684670895,-47.73785347238525,0.0006859500592914
PADRE BERNARDO,23222,-15.387542873502616,-48.24234321428453,0.0171465363583066
PALESTINA DE GOIÁS,2210,-16.713753711842983,-51.42754199497641,0.0016318079989603
PALMEIRAS DE GOIÁS,3592,-16.814514481269185,-49.9450199537401,0.0026522417793057
PALMELO,152,-17.29286227354363,-48.39789764949551,0.0001122329483447
PALMINÓPOLIS,428,-16.802402853215252,-50.18205094632173,0.0003160243545497
PANAMÁ,1559,-18.199317807602675,-49.40058551258638,0.0011511260951942
PARANAIGUARA,565,-18.80418019132733,-50.7270395812168,0.0004171816829921
PARAÚNA,12711,-17.025229406670206,-50.64132283176662,0.0093854803053326
PEROLÂNDIA,3313,-17.53130275403183,-52.205615580294655,0.0024462352491202
PETROLINA DE GOIÁS,1045,-16.11674724559263,-49.318512368591655,0.0007716015198704
PILAR DE GOIÁS,3068,-14.563053642806697,-49.51029317946296,0.0022653334573802
PIRACANJUBA,4273,-17.359788624438703,-49.008963459189445,0.0031550749228767
PIRANHAS,4084,-16.447787530113146,-51.854078169184085,0.0030155221121059
PIRENÓPOLIS,8242,-15.78834605245366,-48.98248540918748,0.0060856839490639
PIRES DO RIO,2448,-17.230327492515848,-48.40629032850881,0.0018075411680791
PLANALTINA,29834,-15.297339114149969,-47.82804373552916,0.0220286696113048
PONTALINA,1949,-17.54112629308756,-49.56409835329973,0.0014390922126578
PORANGATU,17718,-13.295151272205969,-49.25062116604489,0.0130825222287691
PORTEIRÃO,4011,-17.91222565304729,-50.164965023771295,0.002961620761914
PORTELÂNDIA,1638,-17.363742774222114,-52.70044038012558,0.001209457693347
POSSE,10676,-14.196997106543726,-46.3411011854588,0.0078828878719008
PROFESSOR JAMIL,1406,-17.327766046172016,-49.24779400353557,0.0010381547721892
QUIRINÓPOLIS,5296,-18.344498864270253,-50.57761418506451,0.0039104322002235
RIALMA,1690,-15.319958184167618,-49.53010326892392,0.0012478531756755
RIANÁPOLIS,603,-15.471388795648876,-49.44433543377273,0.0004452399200783
RIO QUENTE,813,-17.794891918495523,-48.787827332868765,0.0006002985987125
RIO VERDE,27192,-17.80973337888139,-51.01793797116709,0.020077883759154
RUBIATABA,1686,-15.197347826385103,-49.85541149603293,0.0012448996770349
SANCLERLÂNDIA,457,-16.31910344708521,-50.396968692158616,0.0003374372196945
SANTA BÁRBARA DE GOIÁS,217,-16.595488741575974,-49.68567213368231,0.0001602273012553
SANTA CRUZ DE GOIÁS,1876,-17.372324572144244,-48.58985156059331,0.0013851908624659
SANTA FÉ DE GOIÁS,2406,-15.695835336846852,-51.16880663261477,0.0017765294323523
SANTA HELENA DE GOIÁS,8878,-17.809635495091406,-50.550434417318826,0.0065552902329276
SANTA ISABEL,3309,-15.200546008094864,-49.40043024932847,0.0024432817504795
SANTA RITA DO ARAGUAIA,2285,-17.30441364463477,-53.10068255768836,0.0016871860984725
SANTA RITA DO NOVO DESTINO,3516,-14.819117187607606,-49.03969360530454,0.0025961253051333
SANTA ROSA DE GOIÁS,121,-16.05154736618163,-49.49362956819317,8.934333387973059e-05
SANTA TEREZA DE GOIÁS,3015,-13.615351655700474,-48.99769110324295,0.0022261996003916
SANTA TEREZINHA DE GOIÁS,3245,-14.32429478078316,-49.65930833489798,0.0023960257722291
SANTO ANTÔNIO DA BARRA,1708,-17.55961474151254,-50.63551540775774,0.0012611439195585
SANTO ANTÔNIO DE GOIÁS,431,-16.459177028614274,-49.28880054422419,0.0003182394785302
SANTO ANTÔNIO DO DESCOBERTO,3226,-16.02598615253068,-48.28800335138823,0.002381996653686
SENADOR CANEDO,2041,-16.72174558705297,-49.12425814633367,0.0015070226813928
SERRANÓPOLIS,11455,-18.245444254046,-52.13858145093347,0.0084580817321678
SILVÂNIA,3360,-16.63901076782678,-48.5989267608625,0.0024809388581478
SIMOLÂNDIA,1598,-14.434586326028946,-46.58882654789143,0.0011799227069405
SÃO DOMINGOS,25030,-13.484742034647564,-46.3952483067699,0.0184815177438814
SÃO FRANCISCO DE GOIÁS,1049,-15.930856959393246,-49.25922517675899,0.000774555018511
SÃO JOÃO D'ALIANÇA,23633,-14.47092130372994,-47.44566869827519,0.0174500083436336
SÃO JOÃO DA PARAÚNA,458,-16.83029448609981,-50.38551384054304,0.0003381755943546
SÃO LUIZ DO NORTE,3316,-14.905980936295272,-49.283790673643686,0.0024484503731007
SÃO LUÍS DE MONTES BELOS,790,-16.469151982594024,-50.3923408472066,0.0005833159815288
SÃO MIGUEL DO ARAGUAIA,14628,-13.03457954651454,-50.31087167757311,0.0108009445288652
SÃO MIGUEL DO PASSA QUATRO,559,-17.005010859807335,-48.6779096365864,0.0004127514350311
SÃO PATRÍCIO,248,-15.354159533666005,-49.800363421788425,0.0001831169157204
SÍTIO D'ABADIA,8650,-14.729138480039394,-46.29929381822457,0.0063869408104104
TAQUARAL DE GOIÁS,412,-16.03498818375823,-49.60400920317701,0.0003042103599871
TERESINA DE GOIÁS,6147,-13.661127323864664,-47.23879651180497,0.0045387890360223
TEREZÓPOLIS DE GOIÁS,1031,-16.451781768427683,-49.07980840150495,0.0007612642746281
TRINDADE,2248,-16.650075769653657,-49.51836291274552,0.0016598662360465
TROMBAS,4685,-13.45565441683509,-48.69444724203579,0.0034592852828639
TRÊS RANCHOS,199,-18.316873966288444,-47.74838358478794,0.0001469365573724
TURVELÂNDIA,4589,-17.8061094010701,-50.31150433875028,0.0033884013154882
TURVÂNIA,692,-16.5749332857626,-50.13386843949185,0.0005109552648328
UIRAPURU,3192,-14.1658704952681,-49.9660646641288,0.0023568919152404
URUANA,1341,-15.537768557761284,-49.65225244233562,0.0009901604192786
URUAÇU,11498,-14.424659723475168,-49.081429732121045,0.0084898318425548
URUTAÍ,1454,-17.44233047699522,-48.19865040570893,0.001073596755877
VALPARAÍSO DE GOIÁS,550,-16.08965315501241,-47.98624179015667,0.0004061060630896
VARJÃO,1105,-17.057239672517852,-49.63849902778105,0.0008159039994801
VIANÓPOLIS,1032,-16.848283967930477,-48.46851922795139,0.0007620026492882
VICENTINÓPOLIS,2555,-17.717102371829977,-49.92046965643163,0.0018865472567166
VILA BOA,6918,-14.984513516726455,-47.065655301847535,0.005108075899008
VILA PROPÍCIO,12311,-15.174992710889834,-48.74270162202432,0.0090901304412674
ÁGUA FRIA DE GOIÁS,13683,-14.959240097702764,-47.8720093319421,0.0101031804750111
ÁGUA LIMPA,30,-17.931234278399998,-48.799315130206665,2.215123980489188e-05
ÁGUAS LINDAS DE GOIÁS,1419,-15.740323677414423,-48.27077651213715,0.0010477536427713
